name,scientific_name,family,region,benefits,side_effects,toxicity
Tulsi,Ocimum tenuiflorum,Lamiaceae,South Asia,Improves immunity|Reduces stress|Eases cold and cough,May lower blood sugar|Avoid large doses in pregnancy,low
Neem,Azadirachta indica,Meliaceae,Indian subcontinent,Improves skin health|Fights acne|Supports oral hygiene,Strong doses may cause nausea|Not for internal use in pregnancy,low
Turmeric,Curcuma longa,Zingiberaceae,South Asia,Reduces inflammation|Supports joints|Aids digestion,May interact with blood thinners|High doses upset stomach,low
Ginger,Zingiber officinale,Zingiberaceae,South Asia,Relieves nausea|Improves digestion|Soothes throat,Caution with anticoagulants|Heartburn at high doses,low
Aloe Vera,Aloe barbadensis,Asphodelaceae,North Africa,Hydrates skin|Soothes burns|Improves hair condition,Internal latex may cause cramps|Avoid in pregnancy,low
Ashwagandha,Withania somnifera,Solanaceae,India,Reduces stress|Improves sleep|Supports energy,Caution with thyroid medication|May cause drowsiness,low
Brahmi,Bacopa monnieri,Plantaginaceae,Wetlands of India,Improves memory|Supports focus|Calms the mind,May cause mild digestive upset,low
Hibiscus,Hibiscus sabdariffa,Malvaceae,West Africa; Asia,Promotes hair growth|Supports heart health|Rich in antioxidants,May lower blood pressure|Caution in pregnancy,low
Honey,Apis mellifera product,None,Global,Soothes sore throat|Natural sweetener|Antimicrobial,Avoid if diabetic|Not for infants under 1 year,low
Moringa,Moringa oleifera,Moringaceae,South Asia,Boosts nutrition|Supports energy|Antioxidant rich,May interact with thyroid medication|High doses laxative,low
Rose,Rosa damascena,Rosaceae,Middle East,Calms skin|Aromatic|Mild astringent,Rare contact dermatitis,low
Mint,Mentha piperita,Lamiaceae,Europe; Asia,Aids digestion|Cools the body|Freshens breath,Heartburn in sensitive people|Avoid with GERD,low
Amla,Phyllanthus emblica,Phyllanthaceae,India,Rich in vitamin C|Improves hair|Supports immunity,May irritate empty stomach,low
Fenugreek,Trigonella foenum-graecum,Fabaceae,Mediterranean,Lowers blood sugar|Promotes hair growth|Supports lactation,May lower blood sugar too much|Maple-scented body odour,low
Green Tea,Camellia sinensis,Theaceae,East Asia,Antioxidant rich|Boosts metabolism|Supports focus,Caffeine sensitivity|Iron absorption reduced,low
Lemon,Citrus limon,Rutaceae,Asia,Vitamin C boost|Aids digestion|Brightens skin,Tooth enamel erosion|Photosensitivity on skin,low
Black Pepper,Piper nigrum,Piperaceae,South India,Boosts nutrient absorption|Supports digestion|Anti-inflammatory,May irritate stomach in excess|Caution with acid reflux,low
Coconut Oil,Cocos nucifera,Arecaceae,Tropical,Moisturizes skin|Conditions scalp|Antimicrobial,Can clog pores on acne-prone skin,low
Tea Tree,Melaleuca alternifolia,Myrtaceae,Australia,Antibacterial for skin|Treats acne|Soothes irritation,Must be diluted|Skin irritation if undiluted,medium
Cinnamon,Cinnamomum verum,Lauraceae,Sri Lanka,Lowers blood sugar|Warming|Antimicrobial,High doses may affect liver|Caution with anticoagulants,medium
Garlic,Allium sativum,Amaryllidaceae,Central Asia,Supports heart health|Lowers blood pressure|Antimicrobial,Bad breath|May thin blood|Heartburn at high doses,low
Calendula,Calendula officinalis,Asteraceae,Mediterranean,Soothes skin|Wound healing|Anti-inflammatory,Rare contact allergy,low
Chamomile,Matricaria chamomilla,Asteraceae,Europe,Calms the mind|Aids sleep|Soothes skin,May cause drowsiness|Pollen cross-allergy,low
Valerian,Valeriana officinalis,Caprifoliaceae,Europe,Promotes sleep|Relieves anxiety|Eases muscle tension,Drowsiness|Avoid with sedatives,low
Cumin,Cuminum cyminum,Apiaceae,Mediterranean/India,Aids digestion|Relieves bloating|Supports iron absorption,May lower blood sugar|Heartburn in excess,low
Coriander,Coriandrum sativum,Apiaceae,Mediterranean/India,Supports digestion|Lowers cholesterol|Cooling effect,Rare skin sensitivity,low
Clove,Syzygium aromaticum,Myrtaceae,Indonesia/India,Relieves toothache|Antimicrobial|Supports digestion,May thin blood at high doses|Skin irritation if undiluted,low
Cardamom,Elettaria cardamomum,Zingiberaceae,India,Freshens breath|Aids digestion|Supports respiratory health,May trigger gallbladder pain in sensitive people,low
Fennel,Foeniculum vulgare,Apiaceae,Mediterranean/India,Relieves gas and bloating|Aids digestion|Supports lactation,May affect estrogen-sensitive conditions in excess,low
