name,symptoms,recommended_herbs,avoid_herbs
Common Cold,"Runny nose|Sore throat|Cough|Fatigue","Tulsi|Ginger|Honey|Lemon|Vasaka|Pippali",
Diabetes,"High blood sugar|Fatigue|Thirst","Fenugreek|Cinnamon|Neem|Moringa|Jambu|Karvellaka|Meshashringi","Honey|Sugar-containing syrups"
Hypertension,"High blood pressure|Headache|Dizziness","Hibiscus|Garlic|Sarpagandha|Arjuna","Licorice|High-sodium preparations"
Asthma,"Wheezing|Shortness of breath|Cough","Tulsi|Ginger|Pushkarmool|Vasaka","Heavy perfumed external products"
Thyroid,"Fatigue|Weight changes|Hair thinning","Brahmi|Ashwagandha|Kanchanar","Moringa leaf|Excess raw cabbage family"
PCOS,"Irregular periods|Acne|Hair thinning","Fenugreek|Amla|Neem|Ashoka|Lodhra","High-glycemic sweeteners|Honey in excess"
Skin Allergy,"Redness|Itching|Hives","Aloe Vera|Neem|Calendula|Khadira|Manjistha","Lemon|Essential oils undiluted"
Eczema,"Dry itchy patches|Flaking","Aloe Vera|Neem|Turmeric|Khadira|Bakuchi","Harsh sulfates|Undiluted essential oils"
Psoriasis,"Scaly patches|Silvery plaques","Turmeric|Aloe Vera|Neem|Bakuchi|Manjistha","Alcohol-based toners"
Acne,"Pimples|Inflammation|Oily skin","Neem|Aloe Vera|Tea Tree|Turmeric|Khadira|Manjistha","Heavy oils that clog pores"
Hair Loss,"Thinning hair|Scalp exposure","Hibiscus|Amla|Fenugreek|Coconut Oil|Brahmi|Nili|Bakuchi","Sulfate-heavy shampoos"
Fever,"High temperature|Body ache|Sweating","Tulsi|Ginger|Honey|Chirayata|Bhunimba","Spicy heavy foods"
Stress,"Irritability|Tiredness|Poor focus","Ashwagandha|Brahmi|Tulsi|Jatamansi|Shankhpushpi|Tagar","Stimulant-heavy teas after noon"
Anxiety,"Restlessness|Racing thoughts|Tension","Brahmi|Ashwagandha|Chamomile|Jatamansi|Tagar","Caffeine"
Insomnia,"Difficulty sleeping|Waking often|Fatigue","Ashwagandha|Chamomile|Valerian|Jatamansi|Tagar","Green Tea|Caffeine|Ashwagandha in excess"
