herb_a,herb_b,verdict,compatibility_score,safety_score,benefit_score,risk_score,scientific_confidence,benefits,risks
Tulsi,Ginger,safe,97,92,95,8,90,"Synergistic immune support|Soothing for cold and cough","Limit honey if diabetic"
Tulsi,Honey,safe,95,90,92,10,88,"Combined antimicrobial effect","Honey raises blood sugar"
Ginger,Honey,safe,94,89,90,11,87,"Classic sore-throat remedy","Honey not for infants"
Neem,Aloe Vera,safe,94,88,93,10,86,"Acne-fighting synergy for face washes","Patch test before full use"
Ashwagandha,Brahmi,safe,95,87,94,12,88,"Cognitive calm and stress support","Drowsiness possible"
Hibiscus,Coconut Oil,safe,91,90,92,9,84,"Hair growth and scalp conditioning","Oily scalp may need less frequent use"
Turmeric,Black Pepper,safe,96,91,97,9,92,"Piperine boosts curcumin absorption 20-fold","Mild stomach irritation possible"
Honey,Cinnamon,caution,78,72,80,22,75,"Traditional warming blend","Cinnamon high doses may affect liver|Honey raises blood sugar"
Ginger,Ashwagandha,safe,90,86,89,14,82,"Warming and grounding blend","Caution with sedatives"
Tulsi,Ashwagandha,safe,89,85,90,15,80,"Daily vitality duo","May lower blood pressure"
Aloe Vera,Tea Tree,caution,76,70,82,24,74,"Soothing plus antibacterial for skin","Tea tree must be diluted|Pregnancy caution"
Mint,Green Tea,safe,88,86,87,14,81,"Refreshing antioxidant blend","Caffeine sensitivity"
Amla,Hibiscus,safe,92,88,93,11,85,"Hair-strengthening powerhouse","May lower blood pressure together"
Neem,Turmeric,safe,90,84,91,14,83,"Anti-inflammatory skin duo","Strong odour may irritate sensitive skin"
Aloe Vera,Lemon,caution,74,66,78,28,70,"Brightening face mask base","Lemon is photosensitizing|Citrus allergy risk"
Rose,Honey,safe,93,90,91,9,86,"Nourishing face pack base","Honey sticky texture may attract dust"
Fenugreek,Coconut Oil,safe,90,88,91,11,83,"Scalp conditioning for hair growth","May be heavy for fine hair"
Ginger,Lemon,safe,92,88,93,12,85,"Digestive warming tonic","Lemon enamel risk if drunk pure"
Mint,Tulsi,safe,93,90,92,10,86,"Cooling immunity infusion","May lower blood pressure"
Ashwagandha,Honey,caution,79,74,81,20,76,"Taste-masked adaptogen blend","Honey raises blood sugar|Drowsiness with high dose"
Neem,Amla,safe,91,85,92,13,84,"Antioxidant blood-purifying duo for skin and immunity","May lower blood sugar together|Neem not for internal use in pregnancy"
Ginger,Turmeric,safe,94,90,95,10,90,"Curcumin-ginger anti-inflammatory synergy","Mild stomach irritation possible|Caution with blood thinners at high doses"
Lemon,Honey,safe,92,89,91,11,86,"Classic soothing hydration tonic","Lemon enamel risk if drunk pure|Honey raises blood sugar"
Amla,Honey,safe,90,87,90,12,84,"Vitamin C with soothing honey blend","Honey raises blood sugar"
Tulsi,Green Tea,safe,89,86,90,13,82,"Antioxidant immunity infusion","Caffeine sensitivity|May lower blood pressure"
Ginger,Cinnamon,caution,76,70,81,22,74,"Warming digestive blend","Cinnamon high doses may affect liver|Caution with blood thinners at high doses"
Ashwagandha,Turmeric,safe,88,85,89,14,81,"Stress-relief and anti-inflammatory duo","Drowsiness possible|Caution with sedatives"
Neem,Honey,caution,75,68,80,24,72,"Bitter detox paired with honey","Honey raises blood sugar|Neem not for internal use in pregnancy"
Amla,Ginger,safe,90,87,91,12,85,"Vitamin C warming immunity tonic","May lower blood sugar together"
Aloe Vera,Honey,safe,89,86,88,13,84,"Soothing moisturizing blend","Honey sticky texture may attract dust|Internal aloe not recommended during pregnancy"
Mint,Ginger,safe,90,88,91,12,84,"Cooling and warming digestive tea","Mild stomach irritation possible"
Brahmi,Turmeric,safe,87,84,88,15,80,"Cognitive and anti-inflammatory blend","Drowsiness possible|Caution with sedatives"
Ginger,Clove,safe,89,85,90,14,80,"Soothing cough and throat remedy","May irritate stomach in excess|Caution with blood thinners"
Cumin,Carom,safe,88,86,89,13,81,"Digestive blend for bloating and gas","Heartburn in excess|May lower blood sugar"
Honey,Clove,safe,87,84,88,15,80,"Antimicrobial sore-throat remedy","Honey not for infants|Clove strong flavour"
Ginger,Cumin,safe,90,87,91,12,84,"Warming digestion-supporting tea","May lower blood sugar|Heartburn at high doses"
Fennel,Cardamom,safe,89,86,90,13,82,"Freshens breath and aids digestion","May affect estrogen-sensitive conditions in excess"
Giloy,Tulsi,safe,91,87,92,12,85,"Immunity-boosting duo","May lower blood sugar|Caution in autoimmune conditions"
Bhringraj,Amla,safe,90,86,91,13,84,"Hair-strengthening blend","May lower blood sugar together"
