name,scientific_name,family,region,benefits,side_effects,toxicity,usage,english_name
Tulsi,Ocimum tenuiflorum,Lamiaceae,South Asia,Improves immunity|Reduces stress|Eases cold and cough,May lower blood sugar|Avoid large doses in pregnancy,low,internal,Holy Basil
Neem,Azadirachta indica,Meliaceae,Indian subcontinent,Improves skin health|Fights acne|Supports oral hygiene,Strong doses may cause nausea|Not for internal use in pregnancy,low,external,
Turmeric,Curcuma longa,Zingiberaceae,South Asia,Reduces inflammation|Supports joints|Aids digestion,May interact with blood thinners|High doses upset stomach,low,internal,
Ginger,Zingiber officinale,Zingiberaceae,South Asia,Relieves nausea|Improves digestion|Soothes throat,Caution with anticoagulants|Heartburn at high doses,low,internal,
Aloe Vera,Aloe barbadensis,Asphodelaceae,North Africa,Hydrates skin|Soothes burns|Improves hair condition,Internal latex may cause cramps|Avoid in pregnancy,low,external,
Ashwagandha,Withania somnifera,Solanaceae,India,Reduces stress|Improves sleep|Supports energy,Caution with thyroid medication|May cause drowsiness,low,internal,Indian Ginseng
Brahmi,Bacopa monnieri,Plantaginaceae,Wetlands of India,Improves memory|Supports focus|Calms the mind,May cause mild digestive upset,low,internal,Water Hyssop
Hibiscus,Hibiscus sabdariffa,Malvaceae,"West Africa, Asia",Promotes hair growth|Supports heart health|Rich in antioxidants,May lower blood pressure|Caution in pregnancy,low,external,
Honey,Apis mellifera product,None,Global,Soothes sore throat|Natural sweetener|Antimicrobial,Avoid if diabetic|Not for infants under 1 year,low,internal,
Moringa,Moringa oleifera,Moringaceae,South Asia,Boosts nutrition|Supports energy|Antioxidant rich,May interact with thyroid medication|High doses laxative,low,internal,
Rose,Rosa damascena,Rosaceae,Middle East,Calms skin|Aromatic|Mild astringent,Rare contact dermatitis,low,external,
Mint,Mentha piperita,Lamiaceae,"Europe, Asia",Aids digestion|Cools the body|Freshens breath,Heartburn in sensitive people|Avoid with GERD,low,internal,
Amla,Phyllanthus emblica,Phyllanthaceae,India,Rich in vitamin C|Improves hair|Supports immunity,May irritate empty stomach,low,internal,Indian Gooseberry
Fenugreek,Trigonella foenum-graecum,Fabaceae,Mediterranean,Lowers blood sugar|Promotes hair growth|Supports lactation,May lower blood sugar too much|Maple-scented body odour,low,internal,
Green Tea,Camellia sinensis,Theaceae,East Asia,Antioxidant rich|Boosts metabolism|Supports focus,Caffeine sensitivity|Iron absorption reduced,low,internal,
Lemon,Citrus limon,Rutaceae,Asia,Vitamin C boost|Aids digestion|Brightens skin,Tooth enamel erosion|Photosensitivity on skin,low,internal,
Black Pepper,Piper nigrum,Piperaceae,South India,Boosts nutrient absorption|Supports digestion|Anti-inflammatory,May irritate stomach in excess|Caution with acid reflux,low,internal,
Coconut Oil,Cocos nucifera,Arecaceae,Tropical,Moisturizes skin|Conditions scalp|Antimicrobial,Can clog pores on acne-prone skin,low,external,
Tea Tree,Melaleuca alternifolia,Myrtaceae,Australia,Antibacterial for skin|Treats acne|Soothes irritation,Must be diluted|Skin irritation if undiluted,medium,external,
Cinnamon,Cinnamomum verum,Lauraceae,Sri Lanka,Lowers blood sugar|Warming|Antimicrobial,High doses may affect liver|Caution with anticoagulants,medium,internal,
Garlic,Allium sativum,Amaryllidaceae,Central Asia,Supports heart health|Lowers blood pressure|Antimicrobial,Bad breath|May thin blood|Heartburn at high doses,low,internal,
Calendula,Calendula officinalis,Asteraceae,Mediterranean,Soothes skin|Wound healing|Anti-inflammatory,Rare contact allergy,low,external,
Chamomile,Matricaria chamomilla,Asteraceae,Europe,Calms the mind|Aids sleep|Soothes skin,May cause drowsiness|Pollen cross-allergy,low,internal,
Valerian,Valeriana officinalis,Caprifoliaceae,Europe,Promotes sleep|Relieves anxiety|Eases muscle tension,Drowsiness|Avoid with sedatives,low,internal,
Cumin,Cuminum cyminum,Apiaceae,Mediterranean/India,Aids digestion|Relieves bloating|Supports iron absorption,May lower blood sugar|Heartburn in excess,low,internal,
Coriander,Coriandrum sativum,Apiaceae,Mediterranean/India,Supports digestion|Lowers cholesterol|Cooling effect,Rare skin sensitivity,low,internal,
Clove,Syzygium aromaticum,Myrtaceae,Indonesia/India,Relieves toothache|Antimicrobial|Supports digestion,May thin blood at high doses|Skin irritation if undiluted,low,internal,
Cardamom,Elettaria cardamomum,Zingiberaceae,India,Freshens breath|Aids digestion|Supports respiratory health,May trigger gallbladder pain in sensitive people,low,internal,
Fennel,Foeniculum vulgare,Apiaceae,Mediterranean/India,Relieves gas and bloating|Aids digestion|Supports lactation,May affect estrogen-sensitive conditions in excess,low,internal,
Carom,Trachyspermum ammi,Apiaceae,India,Relieves indigestion|Eases cough|Antimicrobial,Heartburn in excess|Large doses not advised in pregnancy,low,internal,
Nigella Seed,Nigella sativa,Ranunculaceae,West Asia/India,Boosts immunity|Supports respiratory health|Antioxidant rich,May lower blood pressure|Rare contact allergy,low,internal,
Curry Leaves,Murraya koenigii,Rutaceae,India,Supports hair health|Aids digestion|Rich in antioxidants,Generally safe; large amounts may upset stomach,low,internal,
Flaxseed,Linum usitatissimum,Linaceae,Global,Rich in omega-3|Supports digestion|Hormonal balance,May interact with blood thinners|Drink plenty of water,low,internal,
Giloy,Tinospora cordifolia,Menispermaceae,India,Boosts immunity|Reduces fever|Supports liver health,Caution in autoimmune conditions|May lower blood sugar,low,internal,Heart-leaved Moonseed
Bhringraj,Eclipta prostrata,Asteraceae,India,Promotes hair growth|Supports liver health|Anti-inflammatory,May lower blood sugar|Not for internal use in pregnancy,low,external,False Daisy
Shatavari,Asparagus racemosus,Asparagaceae,India,Supports female hormonal health|Supports lactation|Aids digestion,Caution with estrogen-sensitive conditions,low,internal,Wild Asparagus
Adhaki,Cajanus cajan,Fabaceae,,Supports healthy weight management|Promotes wound healing|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Helps reduce excess fat,,low,internal,Pigeon Pea
Agastya,Sesbania grandiflora,Fabaceae,,Supports night vision|Relieves nasal congestion and cold|Helps reduce fever|Helps manage vomiting|Eases cough|Supports eye health,,low,internal,Hummingbird Tree
Agnimantha,Premna integrifolia,Verbenaceae,,Reduces swelling|Supports healthy blood levels|Helps manage hemorrhoids|Soothes vata-related disorders|Relieves pain|Purgative (professional use only),,low,internal,Dusky Fire Brand
Ahiphena,Papaver somniferum,Papaveraceae,,Helps manage diarrhea|Helps manage dysentery|Relieves pain|Promotes sleep|Improves nutrient absorption and helps manage diarrhea,Narcotic; controlled substance; never self-use,high,external,Opium Poppy
Aivana,Hyoscyamus niger,Solanaceae,,Eases abdominal pain|Promotes sleep|Eases tremors|Supports mental calm|Supports intestinal parasite management|Relieves pain|Note: has intoxicating properties - use with care,,low,internal,Henbane
Ajmoda,Apium graveolens,Apiaceae,,Aids digestion|Relieves flatulence and bloating|Supports abdominal health|Relieves pain|Soothes vata-related disorders|Stimulates digestion and appetite|Aids digestion of food and toxins|Supports healthy elimination of gas,,low,internal,Wild Celery
Akarakarabha,Anacyclus pyrethrum,Asteraceae,,Supports male reproductive health|Supports oral and throat health|Eases sciatic pain|Supports recovery in paralysis (adjunct care)|Stimulates weak digestion|Supports reproductive vitality|Soothes excess vata,,low,internal,Pellitory
